Name,Character Id,Level,Power,Stars,Red Stars,Gear Tier,Basic,Special,Ultimate,Passive,ISO Class,ISO Matrix,Striker,Fortifier,Healer,Raider,Skirmisher,ISO Health,ISO Damage,ISO Armor,ISO Focus,ISO Resist
FOCUS TAHITI,ShieldDmg_Defense,36,10223,4,4,7,4,3,,2,raider,,,,,1,,1,1,1,1,1
FOCUS TAHITI,Quake,95,651014,7,9,18,6,6,6,4,raider,purple,12,12,12,13,12,3,3,3,3,3
FOCUS TAHITI,HandSupport_Heal,38,11954,4,4,7,4,4,,2,,,,,,,,,,,,
FOCUS TAHITI,Minerva,80,124133,6,6,15,6,6,6,5,healer,blue,,,7,,,2,2,2,2,2
FOCUS TAHITI,Groot,100,1054819,7,10,19,6,7,7,5,healer,purple,1,3,13,,1,3,3,3,3,3
FOCUS TAHITI,Shocker,105,1338881,7,10,19,6,7,6,5,raider,purple,13,13,13,13,13,3,3,3,3,3
FOCUS TAHITI,HydraSupport_Heal,60,52616,6,6,11,6,6,,4,healer,,,,2,,,2,2,2,2,2
FOCUS TAHITI,Sif,80,200597,7,9,15,6,6,6,5,fortifier,blue,,10,8,,,5,5,5,5,5
FOCUS TAHITI,HumanTorch,107,1811328,7,10,20,6,7,7,5,raider,purple,13,9,9,13,13,3,3,3,3,3
FOCUS TAHITI,Hawkeye,60,76908,7,8,11,6,6,6,4,skirmisher,,2,,,3,3,3,3,3,3,3
FOCUS TAHITI,AimDmg_Offense,42,12607,4,4,7,4,4,,2,striker,,1,,,,,1,1,1,1,1
FOCUS TAHITI,Thing,105,1190484,7,9,19,6,6,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,HandTank_Stealth,36,9554,4,4,7,4,3,,2,,,,,,,,,,,,
FOCUS TAHITI,UltSpiderMan,110,2306143,7,10,19,7,7,7,5,striker,purple,14,,,3,,4,4,4,4,4
FOCUS TAHITI,KreeTank_Counter,48,37802,7,7,9,5,5,,3,fortifier,,,2,,,,2,2,2,2,2
FOCUS TAHITI,MrFantastic,100,743946,7,10,19,7,7,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
FOCUS TAHITI,MBaku,70,107589,7,8,13,6,6,6,4,fortifier,,,5,,,,5,5,5,5,5
FOCUS TAHITI,Deadpool,110,2642851,7,11,20,6,7,6,5,raider,purple,13,13,13,13,13,3,3,3,3,3
FOCUS TAHITI,Mysterio,100,615511,7,9,19,6,6,6,4,striker,purple,13,13,13,13,13,3,3,3,3,3
FOCUS TAHITI,UltGreenGoblin,85,242867,7,9,16,6,6,6,5,raider,purple,1,,,10,,,,,,
FOCUS TAHITI,RavagerDmg_AoE,80,151686,7,7,15,6,7,,4,striker,blue,8,,,,,3,3,3,3,3
FOCUS TAHITI,Korath,27,4188,3,3,5,3,2,2,1,,,,,,,,,,,,
FOCUS TAHITI,HydraTank_Taunt,60,39972,4,4,11,6,6,,4,fortifier,,,3,,,,3,3,3,3,3
FOCUS TAHITI,Rescue,95,396656,7,7,18,7,6,7,5,skirmisher,purple,,1,9,,10,,,,,
FOCUS TAHITI,AimSupport_Heal,20,1093,2,2,4,1,1,,1,,,,,,,,,,,,
FOCUS TAHITI,Pyro,40,13852,4,4,7,4,4,4,2,raider,,,,,1,,1,1,1,1,1
FOCUS TAHITI,ScarletWitch,95,678211,7,9,18,7,7,7,5,skirmisher,purple,,1,4,,12,2,2,2,2,2
FOCUS TAHITI,Vision,95,693096,7,9,18,6,7,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
FOCUS TAHITI,Ronan,48,39874,7,8,9,5,5,4,3,healer,,,,1,,,1,1,1,2,1
FOCUS TAHITI,HydraDmg_Single,59,36195,4,4,10,6,6,,4,skirmisher,,,1,,,3,3,3,3,3,3
FOCUS TAHITI,Juggernaut,100,981631,7,10,19,7,7,7,5,fortifier,purple,1,13,,,,3,3,3,3,3
FOCUS TAHITI,Cyclops,95,482623,7,9,18,6,7,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,RocketRaccoon,100,1101594,7,10,19,7,7,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,Mystique,49,40190,7,7,9,5,5,4,3,healer,,,,2,1,,3,2,2,2,2
FOCUS TAHITI,BaronMordo,100,1000922,7,10,19,6,6,7,4,skirmisher,purple,,,,3,13,3,3,3,3,3
FOCUS TAHITI,Yondu,65,92383,7,8,12,6,6,6,4,skirmisher,,,,,,5,5,5,5,5,5
FOCUS TAHITI,Killmonger,70,108315,7,8,13,6,6,6,4,raider,,2,,,5,1,5,5,5,5,5
FOCUS TAHITI,AntMan,95,659448,7,9,18,6,6,6,4,skirmisher,purple,12,12,12,12,13,3,3,3,3,3
FOCUS TAHITI,Okoye,80,229602,7,10,15,6,6,7,4,skirmisher,blue,,,,1,10,5,5,5,5,5
FOCUS TAHITI,NightNurse,80,129690,6,6,15,6,7,7,5,healer,blue,,,5,,,1,1,1,1,1
FOCUS TAHITI,KreeDmg_Offense,48,36622,7,7,9,5,5,,3,raider,,,,,2,,2,2,2,2,2
FOCUS TAHITI,MercSupport_Buffs,80,140048,7,7,15,6,6,,5,healer,blue,,,8,,,3,3,3,3,3
FOCUS TAHITI,Toad,42,19095,5,5,8,4,4,4,2,raider,,,,,1,,1,1,1,1,1
FOCUS TAHITI,Hela,100,1041699,7,9,19,7,7,7,5,raider,purple,1,,1,13,,3,3,3,3,3
FOCUS TAHITI,BlackWidow,75,274978,7,10,14,6,6,6,4,striker,blue,10,,2,,2,5,5,5,5,5
FOCUS TAHITI,CaptainAmerica,105,1014378,7,9,20,7,7,7,5,fortifier,purple,13,13,13,13,13,3,3,3,3,3
FOCUS TAHITI,IronMan,85,266698,7,9,16,6,7,6,5,raider,purple,4,,,10,,,,,,
FOCUS TAHITI,Colossus,75,109968,6,6,14,6,6,6,5,fortifier,,,4,,,,5,4,5,4,4
FOCUS TAHITI,KreeControl_Assist,48,36485,7,7,9,5,5,,3,raider,,,,,2,,2,2,2,2,2
FOCUS TAHITI,KreeDmg_Speed,48,36582,7,7,9,5,5,,3,striker,,2,,,,,2,2,2,2,2
FOCUS TAHITI,Thor,85,254355,7,9,16,6,6,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,KreeSupport_HoT,48,37019,7,7,9,5,5,,3,healer,,,,2,,,2,2,2,2,2
FOCUS TAHITI,Blob,40,12058,4,4,6,4,4,4,2,fortifier,,,1,,,,1,1,1,1,1
FOCUS TAHITI,AimControl_Infect,25,3313,3,3,5,3,2,,1,,,,,,,,,,,,
FOCUS TAHITI,WarMachine,100,954714,7,9,19,6,7,6,4,raider,purple,3,,,13,,3,3,3,3,3
FOCUS TAHITI,BlackPanther,85,264334,7,8,16,7,7,7,5,striker,purple,10,,,1,,,,,,
FOCUS TAHITI,CaptainMarvel,70,109784,7,7,13,6,6,6,4,striker,,5,,,,,5,5,5,5,5
FOCUS TAHITI,Thanos,110,2175813,7,10,19,7,7,7,5,raider,purple,4,2,5,13,,3,3,3,3,3
FOCUS TAHITI,Storm,100,1070269,7,10,19,7,7,7,5,raider,purple,,,,13,,3,3,3,3,3
FOCUS TAHITI,Loki,95,485940,7,9,18,7,7,7,5,skirmisher,purple,,1,2,,13,3,3,3,3,3
FOCUS TAHITI,Carnage,100,893209,7,11,19,7,7,7,5,striker,purple,13,,4,1,6,3,3,3,3,3
FOCUS TAHITI,Stryfe,55,62728,7,9,10,6,5,5,4,fortifier,,,3,,,,3,3,3,3,3
FOCUS TAHITI,AimDmg_Speed,42,14341,4,4,8,4,4,,2,striker,,1,,,,,1,1,1,1,1
FOCUS TAHITI,Sabretooth,75,147891,7,7,14,6,7,7,5,raider,blue,,,,8,,3,3,3,3,3
FOCUS TAHITI,Namor,100,687997,7,9,19,6,7,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,ScientistSupreme,105,1305406,7,9,19,7,7,7,5,healer,purple,6,6,13,6,6,3,3,3,3,3
FOCUS TAHITI,GhostRider,75,167264,7,8,14,6,6,6,5,raider,blue,1,,,10,,5,5,5,5,5
FOCUS TAHITI,Heimdall,70,113507,7,8,13,6,6,6,5,raider,,,,,5,,5,5,5,5,5
FOCUS TAHITI,ProximaMidnight,80,170167,7,8,15,6,7,7,4,striker,,4,,,,,4,4,4,4,4
FOCUS TAHITI,SymbioteSpiderMan,85,340794,7,11,16,7,7,7,5,skirmisher,purple,1,1,5,7,10,,,,,
FOCUS TAHITI,Psylocke,92,358921,7,10,17,7,7,7,5,skirmisher,purple,,,,,10,,,,,
FOCUS TAHITI,AimTank_Taunt,48,17762,4,4,7,5,5,,3,fortifier,,,1,,,,1,1,1,1,1
FOCUS TAHITI,CorvusGlaive,70,119292,7,9,13,6,6,6,5,striker,,4,,,,,4,5,4,4,4
FOCUS TAHITI,ElsaBloodstone,105,1481992,7,10,19,7,7,7,5,raider,purple,,,,13,1,3,3,3,3,3
FOCUS TAHITI,Nobu,40,30188,7,9,7,4,4,4,2,healer,,,,5,,,5,5,5,5,5
FOCUS TAHITI,Shuri,85,238558,7,8,16,6,6,7,5,healer,purple,,,10,,,,,,,
FOCUS TAHITI,Karnak,60,76254,7,8,11,6,6,6,4,skirmisher,,,,,,2,2,2,2,2,2
FOCUS TAHITI,Taskmaster,105,1592363,7,11,19,6,6,7,5,skirmisher,purple,4,,,,13,3,3,3,3,3
FOCUS TAHITI,Graviton,44,16991,4,4,8,4,4,4,3,raider,,,,,1,,1,1,1,1,1
FOCUS TAHITI,CullObsidian,65,68372,5,5,12,6,6,6,4,healer,,,,5,,,5,5,5,5,5
FOCUS TAHITI,Crystal,55,59634,7,8,10,6,5,5,4,raider,,,,,2,,2,2,2,2,2
FOCUS TAHITI,YoYo,95,711873,7,9,18,7,6,6,5,raider,purple,12,12,12,13,12,3,3,3,3,3
FOCUS TAHITI,DoctorStrange,105,1330804,7,10,19,7,7,8,6,healer,purple,,,13,,,3,3,3,3,3
FOCUS TAHITI,Ironheart,100,1046842,7,10,19,6,7,7,5,raider,purple,,,5,13,,3,3,3,3,3
FOCUS TAHITI,Domino,95,657680,7,9,18,6,6,6,5,raider,purple,12,12,12,13,12,3,3,3,3,3
FOCUS TAHITI,MrSinister,80,169445,7,8,15,6,7,7,4,healer,blue,,,5,,,,,,,
FOCUS TAHITI,StarLord,85,470985,7,10,16,6,6,8,5,skirmisher,purple,,1,,,13,3,3,3,3,3
FOCUS TAHITI,Negasonic,95,610236,7,9,18,6,6,6,5,raider,purple,12,12,12,13,12,3,3,3,3,3
FOCUS TAHITI,RedSkull,60,58341,6,6,11,6,6,6,4,healer,,2,2,2,,,3,2,3,3,2
FOCUS TAHITI,InvisibleWoman,90,459526,7,9,17,6,6,6,4,healer,purple,,,12,,,2,2,2,2,2
FOCUS TAHITI,X23,70,105467,7,7,13,6,6,6,4,striker,,4,,,,,4,4,4,4,4
FOCUS TAHITI,NickFury,95,370057,7,9,17,6,6,7,5,healer,purple,,,10,,,,,,,
FOCUS TAHITI,Coulson,90,308431,7,9,17,6,7,6,4,striker,purple,10,,,2,,,,,,
FOCUS TAHITI,SquirrelGirl,110,2159281,7,10,19,7,7,7,5,healer,purple,,,13,,,3,3,3,3,3
FOCUS TAHITI,Magneto,95,361081,7,7,17,7,7,7,5,striker,purple,10,,,9,,,,,,
FOCUS TAHITI,Ultron,80,172229,7,5,15,7,7,7,5,striker,blue,10,,4,,,5,5,5,5,5
FOCUS TAHITI,Beast,100,917282,7,9,19,6,7,7,5,healer,purple,,,13,,,3,3,3,3,3
FOCUS TAHITI,BlackBolt,100,740031,7,9,19,7,7,7,5,striker,purple,13,,,1,,3,3,3,3,3
FOCUS TAHITI,Swarm,95,566981,7,7,18,6,6,6,4,striker,purple,13,12,12,12,12,3,3,3,3,3
FOCUS TAHITI,EmmaFrost,105,1334563,7,10,19,6,7,7,5,healer,purple,5,5,13,5,5,3,3,3,3,3
FOCUS TAHITI,EbonyMaw,80,187511,7,8,15,6,7,7,4,healer,blue,,1,8,,,3,3,3,3,3
FOCUS TAHITI,Zemo,80,164476,7,8,15,6,7,7,5,skirmisher,,4,,,4,4,4,4,4,4,4
FOCUS TAHITI,Electro,1,197,2,2,1,1,1,,,,,,,,,,,,,,
FOCUS TAHITI,Phoenix,100,1206585,7,10,19,7,7,7,5,striker,purple,13,1,1,,1,3,3,3,3,3
FOCUS TAHITI,Scream,80,283157,7,11,15,7,7,7,5,raider,blue,4,,1,10,1,5,5,5,5,5
FOCUS TAHITI,AntiVenom,85,244781,7,9,15,7,7,7,5,healer,purple,6,,10,,,,,,,
FOCUS TAHITI,SheHulk,110,1998366,7,10,19,6,7,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
FOCUS TAHITI,Stature,60,72404,7,8,11,6,6,6,4,fortifier,,,3,,,,3,3,3,3,3
FOCUS TAHITI,Ghost,105,1359440,7,10,19,7,7,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,Yellowjacket,95,559586,7,8,18,6,6,6,5,skirmisher,purple,12,12,12,12,12,2,2,2,2,2
FOCUS TAHITI,Shatterstar,80,169173,7,8,15,6,6,6,4,raider,blue,,,,8,,3,3,3,3,3
FOCUS TAHITI,Yelena,110,2297059,7,10,20,6,7,6,5,raider,purple,,,,14,,4,4,4,4,4
FOCUS TAHITI,RedGuardian,110,3401784,7,12,20,7,7,7,5,healer,purple,,,14,,,4,4,4,4,4
FOCUS TAHITI,KittyPryde,85,220659,7,8,15,7,6,6,5,skirmisher,purple,,,5,,10,,,,,
FOCUS TAHITI,Longshot,70,107561,7,8,13,6,6,6,4,raider,,,,,5,,5,5,5,5,5
FOCUS TAHITI,Iceman,85,197063,7,7,15,6,6,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Bishop,85,253536,7,9,16,6,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,WhiteTiger,70,104383,7,7,13,6,6,7,5,striker,,4,,,,,4,4,4,4,4
FOCUS TAHITI,SilverSurfer,100,909556,7,8,19,7,7,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,MoonKnight,100,908485,7,9,19,7,7,7,5,raider,purple,13,13,13,13,13,3,3,3,3,3
FOCUS TAHITI,DoctorOctopus,100,690792,7,8,19,7,7,7,5,healer,purple,,,13,,,3,3,3,3,3
FOCUS TAHITI,MultipleMan,70,106132,7,8,13,6,6,6,4,raider,,,,,4,,5,4,4,4,4
FOCUS TAHITI,Sybil,95,618416,7,11,18,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Polaris,90,402918,7,9,17,6,6,6,4,raider,purple,,,,11,,1,1,1,1,1
FOCUS TAHITI,ColleenWing,80,233982,7,10,15,6,7,7,5,striker,blue,10,,,4,,5,5,5,5,5
FOCUS TAHITI,PhylaVell,80,225859,7,9,15,7,6,7,5,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,MistyKnight,75,150600,7,8,14,6,6,6,5,skirmisher,blue,,,,2,10,5,5,5,5,5
FOCUS TAHITI,Jubilee,85,477111,7,10,16,7,7,7,5,striker,purple,10,,,,,,,1,,
FOCUS TAHITI,Moondragon,105,1288694,7,9,19,7,7,8,6,healer,purple,,,13,,,3,3,3,3,3
FOCUS TAHITI,SamWilson,100,1033129,7,9,19,7,7,7,5,skirmisher,purple,4,,,1,13,3,3,3,3,3
FOCUS TAHITI,SharonCarter,90,291202,7,8,16,7,7,7,5,striker,purple,10,2,,,,,,,,
FOCUS TAHITI,MariaHill,90,309373,7,9,16,7,7,7,5,healer,purple,4,,10,,,,,,,
FOCUS TAHITI,Deathpool,90,373732,7,9,17,7,7,7,5,striker,purple,11,,,7,,1,1,1,1,1
FOCUS TAHITI,ShangChi,90,282453,7,7,17,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Ultimus,100,902735,7,10,19,7,7,7,5,striker,purple,11,,,,,1,1,1,1,1
FOCUS TAHITI,Doom,100,479381,7,4,19,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,AdamWarlock,95,774874,7,9,18,7,8,7,5,skirmisher,purple,7,,,,10,,,,,
FOCUS TAHITI,Cloak,85,256436,7,8,16,7,7,7,5,skirmisher,purple,,,,,10,,,,,
FOCUS TAHITI,Dagger,85,243976,7,7,16,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,SilverSamurai,80,174554,7,8,15,6,6,6,5,skirmisher,blue,,,,,8,3,3,3,3,3
FOCUS TAHITI,LadyDeathstrike,105,1505458,7,9,20,7,7,7,5,raider,purple,6,6,6,13,9,3,3,3,3,3
FOCUS TAHITI,Sersi,95,437887,7,8,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
FOCUS TAHITI,Ikaris,95,432334,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Magik,105,1370830,7,10,19,6,7,7,5,raider,purple,,,,13,,3,3,3,3,3
FOCUS TAHITI,GhostSpider,100,722750,7,9,19,7,7,7,5,raider,purple,1,,,13,,3,3,3,3,3
FOCUS TAHITI,ScarletSpider,90,325645,7,9,16,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,SpiderPunk,90,274280,7,7,16,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,TChalla,85,230280,7,9,16,6,6,6,4,skirmisher,purple,,,8,,10,,,,,
FOCUS TAHITI,Echo,82,231342,7,9,15,6,7,7,5,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,KateBishop,80,239007,7,10,15,6,7,7,5,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,OmegaRed,110,2703241,7,10,20,7,7,7,5,striker,purple,14,,,10,,4,4,4,4,4
FOCUS TAHITI,DoctorVoodoo,85,225867,7,7,15,7,7,7,5,skirmisher,purple,,,,,10,,,,,
FOCUS TAHITI,Morbius,85,264932,7,9,15,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,StrangeSupreme,105,1841905,7,10,20,7,7,7,5,raider,purple,,,,13,,3,3,3,3,3
FOCUS TAHITI,MorganLeFay,92,296521,7,5,17,7,8,7,6,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Wong,90,309219,7,8,17,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,MadelynePryor,105,1487067,7,10,20,7,7,7,5,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,NicoMinoru,1,799,6,6,1,1,1,,,skirmisher,,,,,,5,5,5,5,5,5
FOCUS TAHITI,SpiderWoman,1,668,5,5,1,1,1,,,striker,,5,,,,1,5,5,5,5,5
FOCUS TAHITI,Fantomex,90,272474,7,8,17,6,7,6,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Gambit,100,743272,7,9,19,7,7,7,5,striker,purple,13,,,10,,3,3,3,3,3
FOCUS TAHITI,Dazzler,90,292732,7,8,17,7,7,7,5,skirmisher,purple,,,,,10,,,,,
FOCUS TAHITI,Sunfire,100,707229,7,10,19,6,7,7,5,striker,purple,13,6,6,6,6,3,3,3,3,3
FOCUS TAHITI,JaneThor,75,158919,7,7,14,6,6,7,5,striker,blue,10,,,10,8,5,5,5,5,5
FOCUS TAHITI,Rogue,90,256039,7,4,17,8,7,7,6,striker,purple,10,,,,8,,,,,
FOCUS TAHITI,AgathaHarkness,95,676962,7,9,18,7,7,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
FOCUS TAHITI,Valkyrie,75,157492,7,8,14,6,6,6,5,raider,blue,,,,10,8,5,5,5,5,5
FOCUS TAHITI,VivVision,88,273736,7,8,16,7,6,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Deathlok,90,237558,6,6,16,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Hulkbuster,85,240482,7,7,16,6,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,AmadeusCho,110,2260442,7,10,19,7,7,7,5,skirmisher,purple,10,,,,14,4,4,4,4,4
FOCUS TAHITI,RedHulk,90,279608,7,5,17,7,8,7,6,raider,purple,,,,10,,,,,,
FOCUS TAHITI,SpiderWeaver,95,524656,7,10,18,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Abomination,90,307812,7,7,17,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Dormammu,100,518471,7,4,19,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,SpiderMan2099,85,244074,7,8,16,6,6,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,SpiderManNoir,100,702594,7,9,19,7,7,7,5,raider,purple,,,,13,,3,3,3,3,3
FOCUS TAHITI,ZombieIronMan,100,1105840,7,10,19,7,7,7,5,skirmisher,purple,,,,,13,3,3,3,3,3
FOCUS TAHITI,Nakia,80,213464,7,9,15,6,6,6,5,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,BlackPantherBC,80,218027,7,8,15,6,7,7,5,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,Archangel,95,373947,7,5,18,7,7,8,6,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Nemesis,95,423295,7,8,18,7,7,7,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,MrNegative,80,192296,7,7,15,6,6,6,4,striker,blue,10,,,,,5,5,5,5,5
FOCUS TAHITI,CaptainCarter,100,727770,7,9,19,7,7,7,5,healer,purple,5,5,13,5,5,3,3,3,3,3
FOCUS TAHITI,USAgent,95,560463,7,11,18,7,7,6,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,DarkBeast,95,413533,7,8,18,7,7,7,5,skirmisher,purple,,,,,10,,,,,
FOCUS TAHITI,AbsorbingMan,80,183901,7,8,15,6,6,6,5,raider,blue,,,,9,,4,4,4,4,4
FOCUS TAHITI,AgentVenom,95,408626,7,10,16,7,6,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,Titania,90,284690,7,8,16,7,7,6,5,raider,purple,,,,10,8,,,,,
FOCUS TAHITI,CaptainAmericaWW2,95,343974,7,7,17,6,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,UnionJack,95,438535,7,9,18,7,7,7,5,raider,purple,,,,10,,,,,,
FOCUS TAHITI,BuckyBarnes,95,350025,7,8,16,6,7,6,5,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Quicksilver,95,335578,7,4,18,7,7,7,5,striker,blue,9,,,,,4,4,4,4,4
FOCUS TAHITI,Apocalypse,105,1288611,7,10,20,8,8,8,6,striker,purple,13,,,,,3,3,3,3,3
FOCUS TAHITI,Moonstone,80,200543,7,7,15,6,7,7,5,striker,blue,10,,,,8,5,5,5,5,5
FOCUS TAHITI,Nova,95,412647,7,5,18,8,8,7,6,striker,purple,10,,,,,,,,,
FOCUS TAHITI,Gwenpool,110,2664734,7,11,19,6,7,7,5,raider,purple,,,,13,,3,3,3,3,3
FOCUS TAHITI,Firestar,85,216018,7,7,16,6,6,6,5,skirmisher,purple,,,,,10,,,,,
